Employee No,Employee Name,Gender,Leaving Reason,Previous Employer,Latest  Available Rating,Profit Center,Employee Location,People Group,Employee Category,Supervisor name,Month of termination,Tenure_till_18,Tenure_till_18_in_months,Tenure_till_18_in_years,Age_16_18,Current Status16_18,Is promoted,Total Hours,Total Available Hours,Work Hours,Leave Hours,Training Hours,BD Hours,NC Hours,Utilization%,Utilization Status,Utilization%-Mean
252,Emmalyn Cecile,Unknown,Unknown,Unknown,Unknown,PC - 1,Location 3,Client Service Staff,Confirmed Staff,Sybil Georgianna,Unknown,3.7509325995742553,45.01119119489106,4.0,0.0,Active,No,4168.0,3729.5,3475.5,408.0,30.5,16.0,262.0,93.22395193737364,Efficient,93.22395193737364
253,Lindy Marguerite,Unknown,Unknown,Unknown,Unknown,PC - 1,Location 3,Client Service Staff,Confirmed Staff,Rochette Jilleen,Unknown,3.7509325995742553,45.01119119489106,4.0,0.0,Active,No,4168.0,3660.5,572.0,432.0,75.5,3138.5,16.0,15.575445164988714,Low,15.575445164988714
254,Danila Gail,M,Further Studies,Unknown,2.0,PC - 1,Location 3,Client Service Staff,Serving Notice Period,Isahella Gwendolin,3,2.7515965420234503,33.01915850428141,3.0,25.0,Resigned,No,1992.0,1772.0,1256.0,200.0,20.0,0.0,614.0,70.8803611738149,Above Avg,70.8803611738149
255,Alaine Kare,Unknown,Unknown,Unknown,Unknown,PC - 3,Location 4,Client Service Staff,Confirmed Staff,Danette Melinda,Unknown,3.7509325995742553,45.01119119489106,4.0,0.0,Active,No,4168.0,3152.0,2902.0,974.0,42.0,0.0,746.0,91.84953180393049,Efficient,91.84953180393049
256,Sal Tiffanie,M,Further Studies,Unknown,3.0,PC - 3,Location 1,Client Service Staff,Serving Notice Period,Ali Elsinore,3,2.7515965420234503,33.01915850428141,3.0,26.0,Resigned,No,2088.0,1750.0,1610.0,296.0,42.0,32.0,217.5,92.0,Efficient,92.0
257,Fleur Wallis,Unknown,Unknown,Unknown,Unknown,PC - 3,Location 1,Client Service Staff,Confirmed Staff,Dottie Bidget,Unknown,3.7509325995742553,45.01119119489106,4.0,0.0,Active,No,4168.0,3804.0,3274.0,344.0,20.0,0.0,624.0,86.37673780217835,Efficient,86.37673780217835
258,Beryl Elysia,Unknown,Unknown,Unknown,Unknown,PC - 3,Location 1,Client Service Staff,Confirmed Staff,Nerita Anet,Unknown,3.7509325995742553,45.01119119489106,4.0,0.0,Active,No,4168.0,3650.5,3529.0,500.0,17.5,0.0,406.0,96.6249213060079,Efficient,96.6249213060079
259,Mara Gusella,Unknown,Unknown,Unknown,Unknown,PC - 3,Location 1,Client Service Staff,Confirmed Staff,Kristina Alleen,Unknown,3.7509325995742553,45.01119119489106,4.0,0.0,Active,No,4168.0,3722.0,3312.0,408.0,38.0,0.0,527.0,89.06974487638877,Efficient,89.06974487638877
260,Kerry Noelani,Unknown,Unknown,Unknown,Unknown,PC - 3,Location 1,Client Service Staff,Confirmed Staff,Marina Garnette,Unknown,3.7509325995742553,45.01119119489106,4.0,0.0,Active,No,4168.0,3722.0,3144.0,432.0,14.0,0.0,810.0,84.48319473319472,Efficient,84.48319473319472
261,Merlina Anetta,Unknown,Unknown,Unknown,Unknown,PC - 3,Location 1,Client Service Staff,Confirmed Staff,Marina Garnette,Unknown,3.7509325995742553,45.01119119489106,4.0,0.0,Active,No,4168.0,3552.5,3600.0,592.0,23.5,0.0,0.0,101.33276870201254,Over Utilization,101.33276870201254
262,Libby Kamilah,M,Personal,Unknown,3.0,PC - 3,Location 4,Client Service Staff,Serving Notice Period,Danette Melinda,7,2.0862851393252426,25.03542167190291,2.0,24.0,Resigned,No,528.0,512.0,432.0,8.0,8.0,0.0,80.0,84.375,Efficient,84.375
263,Ralina Jolene,Unknown,Unknown,Unknown,Unknown,PC - 1,Location 3,Client Service Staff,Confirmed Staff,Nerissa Jackquelin,Unknown,3.7509325995742553,45.01119119489106,4.0,0.0,Active,No,4168.0,3552.5,3787.0,568.0,47.5,0.0,30.0,106.5249216412278,Over Utilization,106.5249216412278
264,Annis Maritsa,Unknown,Unknown,Unknown,Unknown,PC - 2,Location 7,Client Service Staff,Confirmed Staff,Trenna Mureil,Unknown,3.7509325995742553,45.01119119489106,4.0,0.0,Active,No,4168.0,3625.0,3592.0,488.0,55.0,40.0,280.0,99.06726964386658,Efficient,99.06726964386658
265,Biddie Alidia,F,Personal,Unknown,2.0,PC - 2,Location 7,Client Service Staff,Awaiting Termination,Terza Gwyn,6,3.0007460796594043,36.008952955912854,3.0,26.0,Resigned,No,2440.0,2037.5,2059.5,320.0,82.5,0.0,145.5,100.64648839259476,Over Utilization,100.64648839259476
266,Rickie Nikkie,M,Further Studies,Unknown,3.0,PC - 2,Location 7,Client Service Staff,Serving Notice Period,Aimil Latisha,8,2.1711602565418864,26.053923078502635,2.0,22.0,Resigned,No,800.0,780.0,720.0,16.0,4.0,0.0,68.0,92.3076923076923,Efficient,92.3076923076923
267,Tatum Shirline,M,Further Studies,Unknown,1.0,PC - 2,Location 7,Client Service Staff,Serving Notice Period,Jillian Lorelei,5,1.919272811898944,23.031273742787327,2.0,23.0,Resigned,No,328.0,296.0,152.0,24.0,8.0,0.0,160.0,51.35135135135135,Above Avg,51.35135135135135
268,Lane Ailina,Unknown,Unknown,Unknown,Unknown,PC - 3,Location 1,Client Service Staff,Confirmed Staff,Guenevere Florida,Unknown,3.7509325995742553,45.01119119489106,4.0,0.0,Active,Yes,4168.0,3526.0,2109.0,588.0,54.0,0.0,1902.0,59.53486724295634,Above Avg,59.53486724295634
269,Myrle Elvina,M,Further Studies,Unknown,3.0,PC - 1,Location 3,Client Service Staff,Serving Notice Period,Cherry Fancie,6,2.001410022108599,24.016920265303185,2.0,24.0,Resigned,No,480.0,480.0,437.0,0.0,0.0,0.0,51.0,91.04166666666667,Efficient,91.04166666666667
270,Marcelia Ruthie,Unknown,Unknown,Unknown,Unknown,PC - 1,Location 3,Client Service Staff,Confirmed Staff,Conni Athene,Unknown,3.7509325995742553,45.01119119489106,4.0,0.0,Active,No,4168.0,3737.75,3474.75,408.0,22.25,0.0,313.5,93.0062814630496,Efficient,93.0062814630496
271,Kat Kirbie,M,Personal,foric,2.0,PC - 2,Location 7,Client Service Staff,Awaiting Termination,Frances Mignonne,8,3.085621196876048,37.02745436251258,3.0,28.0,Resigned,No,2944.0,2548.0,2070.0,392.0,4.0,0.0,620.0,73.68881118881119,Above Avg,73.68881118881119
272,Kissee Florence,Unknown,Unknown,Unknown,Unknown,PC - 3,Location 1,Client Service Staff,Confirmed Staff,Tallia Eyde,Unknown,3.5811823651409678,42.97418838169161,4.0,0.0,Active,No,4168.0,3810.0,3437.0,320.0,38.0,40.0,666.0,90.15508430483783,Efficient,90.15508430483783
273,Pavla Irina,M,Career Growth,cisist,3.0,PC - 3,Location 1,Client Service Staff,Serving Notice Period,Kristina Alleen,5,1.7495225774656564,20.994270929587877,2.0,28.0,Resigned,No,272.0,248.0,246.0,24.0,0.0,0.0,24.0,99.19354838709677,Efficient,99.19354838709677
274,Ivy Gipsy,F,Personal,aquva,2.0,PC - 2,Location 9,Client Service Staff,Serving Notice Period,Marleah Bernadina,12,2.2532974667515417,27.0395696010185,2.0,38.0,Resigned,No,1480.0,1392.0,1204.0,80.0,8.0,0.0,220.0,86.49425287356321,Efficient,86.49425287356321
275,Cordula Devan,Unknown,Unknown,Unknown,Unknown,PC - 3,Location 1,Client Service Staff,Confirmed Staff,Guenevere Florida,Unknown,3.499045154931313,41.988541859175754,3.0,0.0,Active,Yes,4168.0,3668.0,2200.0,500.0,0.0,0.0,1657.0,59.92394463502954,Above Avg,59.92394463502954
276,Andee Hermione,Unknown,Unknown,Unknown,Unknown,PC - 3,Location 1,Client Service Staff,Confirmed Staff,Willette Lil,Unknown,3.499045154931313,41.988541859175754,3.0,0.0,Active,No,4168.0,3872.5,873.0,288.0,7.5,0.0,2999.5,22.691904590676096,Low,22.691904590676096
277,Nikaniki Alysa,Unknown,Unknown,Unknown,Unknown,PC - 3,Location 1,Client Service Staff,Confirmed Staff,Tiena Hatti,Unknown,3.499045154931313,41.988541859175754,3.0,0.0,Active,No,4168.0,3763.5,3785.0,400.0,4.5,16.0,112.0,100.58823529411765,Over Utilization,100.58823529411765
278,Kizzee Lind,Unknown,Unknown,Unknown,Unknown,PC - 1,Location 3,Client Service Staff,Confirmed Staff,Ezmeralda Nisse,Unknown,3.499045154931313,41.988541859175754,3.0,0.0,Active,Yes,4168.0,3623.0,3463.0,528.0,17.0,0.0,160.0,95.74468085106383,Efficient,95.74468085106383
279,Hilary Anni,M,Career Growth,hemify,4.0,PC - 6,Location 7,Client Service Staff,Serving Notice Period,Pamelina Shalna,8,1.919272811898944,23.031273742787327,2.0,27.0,Resigned,No,768.0,652.0,622.0,56.0,60.0,0.0,124.0,95.39877300613497,Efficient,95.39877300613497
280,Diana Ardelis,Unknown,Unknown,Unknown,Unknown,PC - 2,Location 7,Client Service Staff,Confirmed Staff,Jillian Lorelei,Unknown,3.414170037714669,40.97004045257603,3.0,0.0,Active,Yes,4168.0,3628.0,3431.0,480.0,60.0,146.0,128.0,94.69288793103448,Efficient,94.69288793103448
281,Melania Bobbi,M,Career Growth,oyofix,1.0,PC - 6,Location 3,Client Service Staff,Serving Notice Period,Lindy Marguerite,1,2.2532974667515417,27.0395696010185,2.0,31.0,Resigned,No,1600.0,1352.0,1056.0,248.0,0.0,40.0,264.0,78.10650887573965,Efficient,78.10650887573965
282,Lucie Jorry,M,Career Growth,mistideo,3.0,PC - 2,Location 9,Client Service Staff,Serving Notice Period,Jolyn Briney,5,1.5825102500393573,18.990123000472288,2.0,28.0,Resigned,No,176.0,176.0,8.0,0.0,0.0,0.0,200.0,4.545454545454546,Low,4.545454545454546
283,Fay Daryn,M,Career Growth,genity,4.0,PC - 5,Location 3,Client Service Staff,Serving Notice Period,Lian Harley,11,2.0835472323182542,25.00256678781905,2.0,25.0,Resigned,No,1288.0,1144.0,496.0,144.0,0.0,0.0,656.0,43.35664335664335,Below Avg,43.35664335664335
284,Penelope Merilee,Unknown,Unknown,Unknown,Unknown,PC - 3,Location 1,Client Service Staff,Confirmed Staff,Kathye Edna,Unknown,3.3320328275050137,39.984393930060165,3.0,0.0,Active,Yes,4168.0,3510.5,1971.0,652.0,5.5,0.0,1567.5,56.3139183646507,Above Avg,56.3139183646507
285,Gerta Teddi,M,Personal,Unknown,Unknown,PC - 2,Location 7,Client Service Staff,Awaiting Termination,Cassandra Katerina,12,3.085621196876048,37.02745436251258,3.0,25.0,Resigned,No,3608.0,3064.5,2508.0,528.0,15.5,0.0,614.5,78.45416259182794,Efficient,78.45416259182794
286,Floria Gwenore,M,Career Growth,conore,3.0,PC - 6,Location 3,Client Service Staff,Serving Notice Period,Lindy Marguerite,1,2.1711602565418864,26.053923078502635,2.0,31.0,Resigned,No,1584.0,1440.0,968.0,144.0,0.0,0.0,496.0,67.22222222222223,Above Avg,67.22222222222223
287,Avis Hilliary,Unknown,Unknown,Unknown,Unknown,PC - 2,Location 7,Client Service Staff,Confirmed Staff,Trenna Mureil,Unknown,3.3320328275050137,39.984393930060165,3.0,0.0,Active,Yes,4168.0,3504.0,3967.0,576.0,88.0,0.0,353.0,113.10272564043677,Over Utilization,113.10272564043677
288,Noel Darcee,Unknown,Unknown,Unknown,Unknown,PC - 2,Location 7,Client Service Staff,Confirmed Staff,Trenna Mureil,Unknown,3.3320328275050137,39.984393930060165,3.0,0.0,Active,Yes,4168.0,3596.0,3174.0,544.0,28.0,24.0,500.0,88.26330116307844,Efficient,88.26330116307844
289,Vonni Bethena,M,Personal,capize,Unknown,PC - 3,Location 1,Client Service Staff,Serving Notice Period,Revkah Stephie,Unknown,3.3320328275050137,39.984393930060165,3.0,0.0,Active,No,4168.0,3782.5,543.0,381.0,4.5,0.0,3281.5,14.373975015507138,Low,14.373975015507138
290,Marj Kip,F,Personal,foric,4.0,PC - 5,Location 1,Client Service Staff,Serving Notice Period,Guenevere Florida,6,1.5825102500393573,18.990123000472288,2.0,28.0,Resigned,No,368.0,368.0,368.0,0.0,0.0,0.0,0.0,100.0,Efficient,100.0
291,Ardys Katerine,Unknown,Unknown,Unknown,Unknown,PC - 1,Location 3,Client Service Staff,Confirmed Staff,Jordanna Danya,Unknown,3.3320328275050137,39.984393930060165,3.0,0.0,Active,No,4168.0,3797.0,1677.0,304.0,67.0,1056.0,1156.0,44.26408193570154,Below Avg,44.26408193570154
292,Brina Beverly,Unknown,Unknown,Unknown,Unknown,PC - 2,Location 7,Client Service Staff,Confirmed Staff,Terza Gwyn,Unknown,3.3320328275050137,39.984393930060165,3.0,0.0,Active,No,4168.0,3568.0,3372.0,528.0,72.0,16.0,228.0,94.50332551383235,Efficient,94.50332551383235
293,Sonya Josie,M,Personal,autoyo,3.0,PC - 3,Location 1,Client Service Staff,Awaiting Termination,Kathye Edna,5,2.4997090973805074,29.99650916856609,2.0,34.0,Resigned,No,2432.0,2223.5,746.0,204.0,4.5,0.0,1509.5,39.69140728917265,Below Avg,39.69140728917265
294,Astrid Gilly,Unknown,Unknown,Unknown,Unknown,PC - 3,Location 1,Client Service Staff,Confirmed Staff,Tommy Muire,Unknown,3.24715771028837,38.96589252346044,3.0,0.0,Active,No,4168.0,4096.0,3973.5,64.0,8.0,0.0,165.5,97.00927734375,Efficient,97.00927734375
295,Misti Helena,Unknown,Unknown,Unknown,Unknown,PC - 3,Location 1,Client Service Staff,Confirmed Staff,Cacilia Aimee,Unknown,3.24715771028837,38.96589252346044,3.0,0.0,Active,No,4168.0,3703.5,1777.0,460.0,4.5,857.0,1100.0,48.31304001812371,Below Avg,48.31304001812371
296,Trenna Mureil,Unknown,Unknown,Unknown,Unknown,PC - 2,Location 7,Client Service Staff,Confirmed Staff (Part-Time 6 Hours),Annnora Gabrielle,Unknown,3.24715771028837,38.96589252346044,3.0,0.0,Active,No,3866.0,3489.0,1635.5,571.0,88.0,1977.5,17.0,47.91116618594124,Below Avg,47.91116618594124
297,Costanza Genevra,F,Career Growth,Unknown,4.0,PC - 2,Location 7,Client Service Staff,Serving Notice Period,Aimil Latisha,7,1.5825102500393573,18.990123000472288,2.0,27.0,Resigned,No,648.0,608.0,32.0,40.0,0.0,0.0,576.0,5.263157894736842,Low,5.263157894736842
298,Shandy Hallie,M,Career Growth,eayo,Unknown,PC - 3,Location 1,Client Service Staff,Awaiting Termination,Vonni Bethena,1,3.085621196876048,37.02745436251258,3.0,32.0,Resigned,No,3728.0,3166.0,2703.0,545.0,17.0,0.0,1079.0,86.37185872254449,Efficient,86.37185872254449
299,Almeta Arabella,Unknown,Unknown,Unknown,Unknown,PC - 1,Location 3,Client Service Staff,Confirmed Staff,Cherise Lainey,Unknown,3.24715771028837,38.96589252346044,3.0,0.0,Active,No,4168.0,3920.5,3093.0,204.0,43.5,0.0,940.0,78.71522303440429,Efficient,78.71522303440429
300,Ottilie Johnna,Unknown,Unknown,Unknown,Unknown,PC - 2,Location 7,Client Service Staff,Confirmed Staff,Frances Mignonne,Unknown,3.162282593071726,37.947391116860715,3.0,0.0,Active,Yes,4168.0,3928.0,2880.0,224.0,16.0,0.0,1016.0,73.14152958991059,Above Avg,73.14152958991059
301,Michaeline Malissa,Unknown,Unknown,Unknown,Unknown,PC - 2,Location 7,Client Service Staff,Confirmed Staff,Myrtie Brana,Unknown,3.162282593071726,37.947391116860715,3.0,0.0,Active,No,4168.0,2916.5,2853.0,1224.0,27.5,48.0,425.5,94.78460677907194,Efficient,94.78460677907194
302,Kaitlin Allegra,Unknown,Unknown,Unknown,Unknown,PC - 2,Location 9,Client Service Staff,Serving Notice Period,Jolyn Briney,Unknown,3.162282593071726,37.947391116860715,3.0,0.0,Active,No,4168.0,3514.5,3361.5,592.0,61.5,302.5,131.0,95.4331708205867,Efficient,95.4331708205867
303,Dixie Zuzana,M,Personal,Unknown,Unknown,PC - 2,Location 7,Client Service Staff,Awaiting Termination,Laetitia Yoshi,11,2.830995845226117,33.9719501427134,3.0,30.0,Resigned,No,3384.0,2972.0,2901.0,360.0,52.0,0.0,128.0,97.92969049260705,Efficient,97.92969049260705
304,Ophelie Jyoti,Unknown,Unknown,Unknown,Unknown,PC - 3,Location 1,Client Service Staff,Confirmed Staff,Revkah Stephie,Unknown,3.162282593071726,37.947391116860715,3.0,0.0,Active,Yes,4168.0,3677.5,2045.0,456.0,34.5,0.0,2265.5,55.94720401152995,Above Avg,55.94720401152995
305,Haley Brenn,Unknown,Unknown,Unknown,Unknown,PC - 3,Location 1,Client Service Staff,Confirmed Staff,Benedikta Kirbee,Unknown,3.162282593071726,37.947391116860715,3.0,0.0,Active,Yes,4168.0,3652.5,3364.5,472.0,43.5,0.0,464.5,92.12547431475357,Efficient,92.12547431475357
306,Kittie Catlin,Unknown,Unknown,Unknown,Unknown,PC - 3,Location 2,Client Service Staff,Confirmed Staff,Marney Anderea,Unknown,3.162282593071726,37.947391116860715,3.0,0.0,Active,Yes,4168.0,3745.0,2890.0,368.0,55.0,0.0,1183.5,77.20756905881532,Efficient,77.20756905881532
307,Melitta Zita,Unknown,Unknown,Unknown,Unknown,PC - 3,Location 1,Client Service Staff,Confirmed Staff,Orsa Margeaux,Unknown,3.162282593071726,37.947391116860715,3.0,0.0,Active,Yes,4168.0,3575.5,3310.0,556.0,36.5,0.0,528.0,92.13522872500376,Efficient,92.13522872500376
308,Noell Mercedes,Unknown,Unknown,Unknown,Unknown,PC - 3,Location 1,Client Service Staff,Confirmed Staff,Ophelie Jyoti,Unknown,3.162282593071726,37.947391116860715,3.0,0.0,Active,No,4168.0,3723.0,3970.0,416.0,29.0,0.0,227.0,106.59388895815151,Over Utilization,106.59388895815151
309,Agnes Stacie,Unknown,Unknown,Unknown,Unknown,PC - 1,Location 8,Client Service Staff,Confirmed Staff,Kippy Marquita,Unknown,3.162282593071726,37.947391116860715,3.0,0.0,Active,No,4168.0,3683.5,825.0,424.0,60.5,2754.5,120.0,21.95287397938209,Low,21.95287397938209
310,Emelda Jackqueline,Unknown,Unknown,Unknown,Unknown,PC - 1,Location 8,Client Service Staff,Confirmed Staff,Erminie Ericka,Unknown,3.162282593071726,37.947391116860715,3.0,0.0,Active,Yes,4168.0,3459.0,3169.0,602.0,107.0,0.0,368.0,91.62876558403339,Efficient,91.62876558403339
311,Cindra Paulette,M,Personal,cynoid,3.0,PC - 2,Location 7,Client Service Staff,Serving Notice Period,Beverley Laney,12,1.9165349048919553,22.998418858703463,2.0,33.0,Resigned,No,1488.0,1408.0,460.0,32.0,48.0,4.0,968.0,32.67045454545455,Below Avg,32.67045454545455
312,Eran Siusan,F,Personal,rhyism,3.0,PC - 2,Location 7,Client Service Staff,Serving Notice Period,Nancee Deirdre,9,1.6646474602490127,19.975769522988152,2.0,30.0,Resigned,No,928.0,776.0,688.0,136.0,16.0,0.0,88.0,88.65979381443299,Efficient,88.65979381443299
313,Marion Evelyn,M,Career Growth,conore,Unknown,PC - 1,Location 3,Client Service Staff,Serving Notice Period,Agnes Stacie,Unknown,3.162282593071726,37.947391116860715,3.0,0.0,Active,No,4168.0,3592.0,3218.0,512.0,64.0,0.0,564.0,89.62568851145103,Efficient,89.62568851145103
314,Sheeree Lacee,Unknown,Unknown,Unknown,Unknown,PC - 2,Location 7,Client Service Staff,Confirmed Staff,Cassandra Katerina,Unknown,3.162282593071726,37.947391116860715,3.0,0.0,Active,No,4168.0,3707.4,3135.0,384.0,76.6,12.0,858.0,84.67803346141241,Efficient,84.67803346141241
315,Lorilyn Chastity,Unknown,Unknown,Unknown,Unknown,PC - 3,Location 1,Client Service Staff,Confirmed Staff,Landon Browning,Unknown,3.085621196876048,37.02745436251258,3.0,0.0,Active,Yes,4168.0,3721.5,3003.5,432.0,14.5,0.0,1211.5,80.7021199075315,Efficient,80.7021199075315
316,Allina Cory,M,Career Growth,skicero,3.0,PC - 5,Location 1,Client Service Staff,Serving Notice Period,Willette Lil,12,1.8398735086962772,22.078482104355327,2.0,27.0,Resigned,No,1408.0,1304.0,1304.0,104.0,0.0,0.0,64.0,100.0,Efficient,100.0
317,Marni Hertha,M,Career Growth,meedo,Unknown,PC - 3,Location 1,Client Service Staff,Awaiting Termination,Ophelie Jyoti,12,2.8392095662470824,34.07051479496499,3.0,31.0,Resigned,No,3496.0,3144.5,3153.0,336.0,15.5,0.0,43.5,100.22222222222223,Over Utilization,100.22222222222223
318,Cherise Lainey,Unknown,Unknown,Unknown,Unknown,PC - 1,Location 3,Client Service Staff,Confirmed Staff,Jordanna Danya,Unknown,3.085621196876048,37.02745436251258,3.0,0.0,Active,No,4168.0,3713.5,124.0,440.0,14.5,3055.5,542.0,6.557377049180328,Low,6.557377049180328
319,Zora Quinta,Unknown,Unknown,Unknown,Unknown,PC - 1,Location 3,Client Service Staff,Confirmed Staff,Cherise Lainey,Unknown,3.085621196876048,37.02745436251258,3.0,0.0,Active,Yes,4168.0,3960.0,3543.0,208.0,0.0,0.0,489.0,89.18915328777425,Efficient,89.18915328777425
320,Nan Adriaens,M,Personal,bovescent,3.0,PC - 2,Location 7,Client Service Staff,Serving Notice Period,Dore Natalya,12,1.8398735086962772,22.078482104355327,2.0,35.0,Resigned,No,1528.0,1374.5,318.0,136.0,17.5,0.0,1085.5,23.135685703892324,Low,23.135685703892324
321,Helen Elsy,Unknown,Unknown,Unknown,Unknown,PC - 2,Location 7,Client Service Staff,Confirmed Staff,Myrtie Brana,Unknown,3.085621196876048,37.02745436251258,3.0,0.0,Active,Yes,4168.0,3606.0,3766.0,496.0,66.0,11.0,222.0,104.4386066764095,Over Utilization,104.4386066764095
323,Viv Tammie,Unknown,Unknown,Unknown,Unknown,PC - 1,Location 3,Client Service Staff,Confirmed Staff,Ezmeralda Nisse,Unknown,3.085621196876048,37.02745436251258,3.0,0.0,Active,No,4168.0,3732.0,3738.0,416.0,20.0,0.0,16.0,100.21707870139926,Over Utilization,100.21707870139926
324,Erna Annecorinne,Unknown,Unknown,Unknown,Unknown,PC - 1,Location 8,Client Service Staff,Confirmed Staff,Audi Stephana,Unknown,3.085621196876048,37.02745436251258,3.0,0.0,Active,Yes,4168.0,3577.0,3408.0,564.0,27.0,0.0,300.0,95.24989206539898,Efficient,95.24989206539898
325,Fina Celie,M,Personal,dolicious,4.0,PC - 3,Location 1,Client Service Staff,Serving Notice Period,Kynthia Hildy,2,1.9165349048919553,22.998418858703463,2.0,31.0,Resigned,No,1904.0,1687.0,1432.0,216.0,1.0,0.0,431.0,84.88441019561351,Efficient,84.88441019561351
326,Daniela Zoe,F,Personal,paleodel,2.0,PC - 5,Location 1,Client Service Staff,Serving Notice Period,Guenevere Florida,11,1.6701232742629897,20.041479291155877,2.0,27.0,Resigned,No,1368.0,1216.0,1016.0,152.0,0.0,0.0,360.0,83.55263157894737,Efficient,83.55263157894737
327,Evangelia Barbara-Anne,Unknown,Unknown,Unknown,Unknown,PC - 3,Location 1,Client Service Staff,Confirmed Staff,Agata Theodosia,Unknown,3.0007460796594043,36.008952955912854,3.0,0.0,Active,Yes,4168.0,3656.0,1056.0,480.0,32.0,0.0,2560.0,56.896551724137936,Above Avg,56.896551724137936
328,Jonie Nannette,M,Career Growth,equcy,3.0,PC - 5,Location 3,Client Service Staff,Serving Notice Period,Cherise Lainey,8,1.4209737366270354,17.051684839524427,1.0,27.0,Resigned,No,864.0,832.0,280.0,32.0,0.0,0.0,576.0,33.65384615384615,Below Avg,33.65384615384615
329,Claresta Dalenna,Unknown,Unknown,Unknown,Unknown,PC - 2,Location 7,Client Service Staff,Confirmed Staff,Cassandra Katerina,Unknown,3.0007460796594043,36.008952955912854,3.0,0.0,Active,Yes,4168.0,3892.0,3436.0,256.0,20.0,0.0,914.0,88.43264029749831,Efficient,88.43264029749831
330,Patricia Michaelina,Unknown,Unknown,Unknown,Unknown,PC - 3,Location 1,Client Service Staff,Confirmed Staff,Nerita Anet,Unknown,3.0007460796594043,36.008952955912854,3.0,0.0,Active,No,4168.0,3561.0,3804.5,504.0,103.0,40.0,0.0,106.95452851212369,Over Utilization,106.95452851212369
331,Malena Elnore,F,Career Growth,fortous,4.0,PC - 1,Location 3,Client Service Staff,Serving Notice Period,Nerissa Jackquelin,6,1.251223502193748,15.014682026324975,1.0,26.0,Resigned,No,448.0,408.0,216.0,40.0,0.0,0.0,192.0,52.94117647058824,Above Avg,52.94117647058824
332,Eadie Kiri,F,Personal,viloo,4.0,PC - 2,Location 7,Client Service Staff,Serving Notice Period,Dore Natalya,4,1.084211174767449,13.010534097209387,1.0,33.0,Resigned,No,80.0,80.0,40.0,0.0,0.0,0.0,80.0,50.0,Below Avg,50.0
333,Cloe Rosalind,M,Career Growth,feler,Unknown,PC - 2,Location 7,Client Service Staff,Awaiting Termination,Frances Mignonne,4,3.0828832898690597,36.99459947842872,3.0,30.0,Resigned,No,4168.0,3892.0,2615.0,264.0,12.0,0.0,1504.0,67.09870673259795,Above Avg,67.09870673259795
334,Kellina Amandi,Unknown,Unknown,Unknown,Unknown,PC - 1,Location 8,Client Service Staff,Confirmed Staff,Rina Debee,Unknown,3.0007460796594043,36.008952955912854,3.0,0.0,Active,No,4168.0,3890.5,2898.0,232.0,45.5,408.0,915.5,74.21914112660852,Above Avg,74.21914112660852
335,Oneida Celestina,Unknown,Unknown,Unknown,Unknown,PC - 2,Location 7,Client Service Staff,Confirmed Staff,Myrtie Brana,Unknown,3.0007460796594043,36.008952955912854,3.0,0.0,Active,Yes,4168.0,3544.0,3008.0,544.0,80.0,60.0,551.0,85.38139594232487,Efficient,85.38139594232487
336,Kalindi Toma,Unknown,Unknown,Unknown,Unknown,PC - 3,Location 1,Client Service Staff,SVP/VP,Rochette Jilleen,Unknown,2.918608869449749,35.02330643339699,3.0,0.0,Active,No,4168.0,3633.0,544.0,432.0,103.0,3099.5,46.5,14.826824736205543,Low,14.826824736205543
337,Rosabella Arlina,Unknown,Unknown,Unknown,Unknown,PC - 2,Location 7,Client Service Staff,Confirmed Staff,Cacilia Aimee,Unknown,2.918608869449749,35.02330643339699,3.0,0.0,Active,No,4168.0,3623.4,80.0,480.0,64.6,3558.0,16.0,2.1571407905690463,Low,2.1571407905690463
338,Britni Annabela,Unknown,Unknown,Unknown,Unknown,PC - 2,Location 7,Client Service Staff,Confirmed Staff,Terza Gwyn,Unknown,2.918608869449749,35.02330643339699,3.0,0.0,Active,Yes,4168.0,3594.0,3352.0,528.0,46.0,12.0,268.0,93.27223944049291,Efficient,93.27223944049291
339,Clem Joy,Unknown,Unknown,Unknown,Unknown,PC - 2,Location 7,Client Service Staff,Confirmed Staff,Trenna Mureil,Unknown,2.918608869449749,35.02330643339699,3.0,0.0,Active,Yes,4168.0,3579.5,3195.0,512.0,76.5,0.0,716.0,89.3459456202446,Efficient,89.3459456202446
340,Tomasina Rozina,Unknown,Unknown,Unknown,Unknown,PC - 2,Location 7,Client Service Staff,Confirmed Staff,Trenna Mureil,Unknown,2.918608869449749,35.02330643339699,3.0,0.0,Active,No,4168.0,3832.0,3438.0,280.0,56.0,0.0,568.0,89.84345020059305,Efficient,89.84345020059305
341,Geneva TEirtza,Unknown,Unknown,Unknown,Unknown,PC - 2,Location 7,Client Service Staff,Confirmed Staff,Trenna Mureil,Unknown,2.918608869449749,35.02330643339699,3.0,0.0,Active,No,4168.0,3864.0,3140.0,280.0,24.0,56.0,852.0,81.28105107486552,Efficient,81.28105107486552
342,Elle Marty,Unknown,Unknown,Unknown,Unknown,PC - 2,Location 9,Client Service Staff,Confirmed Staff,Jolyn Briney,Unknown,2.918608869449749,35.02330643339699,3.0,0.0,Active,Yes,4168.0,3418.0,3118.0,715.0,35.0,80.0,325.0,91.50170429363904,Efficient,91.50170429363904
